image_id,classe
655048.jpg,4
655049.jpg,4
655050.jpg,4
655051.jpg,4
655052.jpg,4
655053.jpg,4
655054.jpg,4
655055.jpg,4
655056.jpg,4
655057.jpg,4
655058.jpg,4
655059.jpg,4
655060.jpg,4
655061.jpg,4
655062.jpg,4
655063.jpg,4
655064.jpg,4
655065.jpg,4
655066.jpg,4
655067.jpg,4
655068.jpg,4
655069.jpg,4
655070.jpg,4
655071.jpg,4
655072.jpg,4
655073.jpg,4
655074.jpg,4
655075.jpg,4
655076.jpg,4
655077.jpg,4
655078.jpg,4
655079.jpg,4
655080.jpg,4
655081.jpg,4
655082.jpg,4
655083.jpg,4
655084.jpg,4
655085.jpg,4
655086.jpg,4
655087.jpg,4
655088.jpg,4
655089.jpg,4
655090.jpg,4
655091.jpg,4
655092.jpg,4
655093.jpg,4
655094.jpg,4
655095.jpg,4
655096.jpg,4
655097.jpg,4
655098.jpg,4
655099.jpg,4
