image_id,classe
655048.jpg,1
655049.jpg,1
655050.jpg,1
655051.jpg,1
655052.jpg,1
655053.jpg,1
655054.jpg,1
655055.jpg,1
655056.jpg,1
655057.jpg,1
655058.jpg,1
655059.jpg,1
655060.jpg,1
655061.jpg,1
655062.jpg,1
655063.jpg,1
655064.jpg,1
655065.jpg,1
655066.jpg,1
655067.jpg,1
655068.jpg,1
655069.jpg,1
655070.jpg,1
655071.jpg,1
655072.jpg,1
655073.jpg,1
655074.jpg,1
655075.jpg,1
655076.jpg,1
655077.jpg,1
655078.jpg,1
655079.jpg,1
655080.jpg,1
655081.jpg,1
655082.jpg,1
655083.jpg,1
655084.jpg,1
655085.jpg,1
655086.jpg,1
655087.jpg,1
655088.jpg,1
655089.jpg,1
655090.jpg,1
655091.jpg,1
655092.jpg,1
655093.jpg,1
655094.jpg,1
655095.jpg,1
655096.jpg,1
655097.jpg,1
655098.jpg,1
655099.jpg,1
